",""Id"",""Sex"",""Pclass"",""Fare"""
"1,1,""male"",3,7.25"
"2,2,""female"",1,71.2833"
"3,3,""female"",3,7.925"
"4,4,""female"",1,53.1"
"5,5,""male"",3,8.05"
"6,6,""male"",3,8.4583"
"7,7,""male"",1,51.8625"
"8,8,""male"",3,21.075"
"9,9,""female"",3,11.1333"
"10,10,""female"",2,30.0708"
"11,11,""female"",3,16.7"
"12,12,""female"",1,26.55"
"13,13,""male"",3,8.05"
"14,14,""male"",3,31.275"
"15,15,""female"",3,7.8542"
"16,16,""female"",2,16"
"17,17,""male"",3,29.125"
"18,18,""male"",2,13"
"19,19,""female"",3,18"
"20,20,""female"",3,7.225"
"21,21,""male"",2,26"
"22,22,""male"",2,13"
"23,23,""female"",3,8.0292"
"24,24,""male"",1,35.5"
"25,25,""female"",3,21.075"
"26,26,""female"",3,31.3875"
"27,27,""male"",3,7.225"
"28,28,""male"",1,263"
"29,29,""female"",3,7.8792"
"30,30,""male"",3,7.8958"
"31,31,""male"",1,27.7208"
"32,32,""female"",1,146.5208"
"33,33,""female"",3,7.75"
"34,34,""male"",2,10.5"
"35,35,""male"",1,82.1708"
"36,36,""male"",1,52"
"37,37,""male"",3,7.2292"
"38,38,""male"",3,8.05"
"39,39,""female"",3,18"
"40,40,""female"",3,11.2417"
"41,41,""female"",3,9.475"
"42,42,""female"",2,21"
"43,43,""male"",3,7.8958"
"44,44,""female"",2,41.5792"
"45,45,""female"",3,7.8792"
"46,46,""male"",3,8.05"
"47,47,""male"",3,15.5"
"48,48,""female"",3,7.75"
"49,49,""male"",3,21.6792"
"50,50,""female"",3,17.8"
"51,51,""male"",3,39.6875"
"52,52,""male"",3,7.8"
"53,53,""female"",1,76.7292"
"54,54,""female"",2,26"
"55,55,""male"",1,61.9792"
"56,56,""male"",1,35.5"
"57,57,""female"",2,10.5"
"58,58,""male"",3,7.2292"
"59,59,""female"",2,27.75"
"60,60,""male"",3,46.9"
"61,61,""male"",3,7.2292"
"62,62,""female"",1,80"
"63,63,""male"",1,83.475"
"64,64,""male"",3,27.9"
"65,65,""male"",1,27.7208"
"66,66,""male"",3,15.2458"
"67,67,""female"",2,10.5"
"68,68,""male"",3,8.1583"
"69,69,""female"",3,7.925"
"70,70,""male"",3,8.6625"
"71,71,""male"",2,10.5"
"72,72,""female"",3,46.9"
"73,73,""male"",2,73.5"
"74,74,""male"",3,14.4542"
"75,75,""male"",3,56.4958"
"76,76,""male"",3,7.65"
"77,77,""male"",3,7.8958"
"78,78,""male"",3,8.05"
"79,79,""male"",2,29"
"80,80,""female"",3,12.475"
"81,81,""male"",3,9"
"82,82,""male"",3,9.5"
"83,83,""female"",3,7.7875"
"84,84,""male"",1,47.1"
"85,85,""female"",2,10.5"
"86,86,""female"",3,15.85"
"87,87,""male"",3,34.375"
"88,88,""male"",3,8.05"
"89,89,""female"",1,263"
"90,90,""male"",3,8.05"
"91,91,""male"",3,8.05"
"92,92,""male"",3,7.8542"
"93,93,""male"",1,61.175"
"94,94,""male"",3,20.575"
"95,95,""male"",3,7.25"
"96,96,""male"",3,8.05"
"97,97,""male"",1,34.6542"
"98,98,""male"",1,63.3583"
"99,99,""female"",2,23"
"100,100,""male"",2,26"
"101,101,""female"",3,7.8958"
"102,102,""male"",3,7.8958"
"103,103,""male"",1,77.2875"
"104,104,""male"",3,8.6542"
"105,105,""male"",3,7.925"
"106,106,""male"",3,7.8958"
"107,107,""female"",3,7.65"
"108,108,""male"",3,7.775"
"109,109,""male"",3,7.8958"
"110,110,""female"",3,24.15"
"111,111,""male"",1,52"
"112,112,""female"",3,14.4542"
"113,113,""male"",3,8.05"
"114,114,""female"",3,9.825"
"115,115,""female"",3,14.4583"
"116,116,""male"",3,7.925"
"117,117,""male"",3,7.75"
"118,118,""male"",2,21"
"119,119,""male"",1,247.5208"
"120,120,""female"",3,31.275"
"121,121,""male"",2,73.5"
"122,122,""male"",3,8.05"
"123,123,""male"",2,30.0708"
"124,124,""female"",2,13"
"125,125,""male"",1,77.2875"
"126,126,""male"",3,11.2417"
"127,127,""male"",3,7.75"
"128,128,""male"",3,7.1417"
"129,129,""female"",3,22.3583"
"130,130,""male"",3,6.975"
"131,131,""male"",3,7.8958"
"132,132,""male"",3,7.05"
"133,133,""female"",3,14.5"
"134,134,""female"",2,26"
"135,135,""male"",2,13"
"136,136,""male"",2,15.0458"
"137,137,""female"",1,26.2833"
"138,138,""male"",1,53.1"
"139,139,""male"",3,9.2167"
"140,140,""male"",1,79.2"
"141,141,""female"",3,15.2458"
"142,142,""female"",3,7.75"
"143,143,""female"",3,15.85"
"144,144,""male"",3,6.75"
"145,145,""male"",2,11.5"
"146,146,""male"",2,36.75"
"147,147,""male"",3,7.7958"
"148,148,""female"",3,34.375"
"149,149,""male"",2,26"
"150,150,""male"",2,13"
"151,151,""male"",2,12.525"
"152,152,""female"",1,66.6"
"153,153,""male"",3,8.05"
"154,154,""male"",3,14.5"
"155,155,""male"",3,7.3125"
"156,156,""male"",1,61.3792"
"157,157,""female"",3,7.7333"
"158,158,""male"",3,8.05"
"159,159,""male"",3,8.6625"
"160,160,""male"",3,69.55"
"161,161,""male"",3,16.1"
"162,162,""female"",2,15.75"
"163,163,""male"",3,7.775"
"164,164,""male"",3,8.6625"
"165,165,""male"",3,39.6875"
"166,166,""male"",3,20.525"
"167,167,""female"",1,55"
"168,168,""female"",3,27.9"
"169,169,""male"",1,25.925"
"170,170,""male"",3,56.4958"
"171,171,""male"",1,33.5"
"172,172,""male"",3,29.125"
"173,173,""female"",3,11.1333"
"174,174,""male"",3,7.925"
"175,175,""male"",1,30.6958"
"176,176,""male"",3,7.8542"
"177,177,""male"",3,25.4667"
"178,178,""female"",1,28.7125"
"179,179,""male"",2,13"
"180,180,""male"",3,0"
"181,181,""female"",3,69.55"
"182,182,""male"",2,15.05"
"183,183,""male"",3,31.3875"
"184,184,""male"",2,39"
"185,185,""female"",3,22.025"
"186,186,""male"",1,50"
"187,187,""female"",3,15.5"
"188,188,""male"",1,26.55"
"189,189,""male"",3,15.5"
"190,190,""male"",3,7.8958"
"191,191,""female"",2,13"
"192,192,""male"",2,13"
"193,193,""female"",3,7.8542"
"194,194,""male"",2,26"
"195,195,""female"",1,27.7208"
"196,196,""female"",1,146.5208"
"197,197,""male"",3,7.75"
"198,198,""male"",3,8.4042"
"199,199,""female"",3,7.75"
"200,200,""female"",2,13"
"201,201,""male"",3,9.5"
"202,202,""male"",3,69.55"
"203,203,""male"",3,6.4958"
"204,204,""male"",3,7.225"
"205,205,""male"",3,8.05"
"206,206,""female"",3,10.4625"
"207,207,""male"",3,15.85"
"208,208,""male"",3,18.7875"
"209,209,""female"",3,7.75"
"210,210,""male"",1,31"
"211,211,""male"",3,7.05"
"212,212,""female"",2,21"
"213,213,""male"",3,7.25"
"214,214,""male"",2,13"
"215,215,""male"",3,7.75"
"216,216,""female"",1,113.275"
"217,217,""female"",3,7.925"
"218,218,""male"",2,27"
"219,219,""female"",1,76.2917"
"220,220,""male"",2,10.5"
"221,221,""male"",3,8.05"
"222,222,""male"",2,13"
"223,223,""male"",3,8.05"
"224,224,""male"",3,7.8958"
"225,225,""male"",1,90"
"226,226,""male"",3,9.35"
"227,227,""male"",2,10.5"
"228,228,""male"",3,7.25"
"229,229,""male"",2,13"
"230,230,""female"",3,25.4667"
"231,231,""female"",1,83.475"
"232,232,""male"",3,7.775"
"233,233,""male"",2,13.5"
"234,234,""female"",3,31.3875"
"235,235,""male"",2,10.5"
"236,236,""female"",3,7.55"
"237,237,""male"",2,26"
"238,238,""female"",2,26.25"
"239,239,""male"",2,10.5"
"240,240,""male"",2,12.275"
"241,241,""female"",3,14.4542"
"242,242,""female"",3,15.5"
"243,243,""male"",2,10.5"
"244,244,""male"",3,7.125"
"245,245,""male"",3,7.225"
"246,246,""male"",1,90"
"247,247,""female"",3,7.775"
"248,248,""female"",2,14.5"
"249,249,""male"",1,52.5542"
"250,250,""male"",2,26"
"251,251,""male"",3,7.25"
"252,252,""female"",3,10.4625"
"253,253,""male"",1,26.55"
"254,254,""male"",3,16.1"
"255,255,""female"",3,20.2125"
"256,256,""female"",3,15.2458"
"257,257,""female"",1,79.2"
"258,258,""female"",1,86.5"
"259,259,""female"",1,512.3292"
"260,260,""female"",2,26"
"261,261,""male"",3,7.75"
"262,262,""male"",3,31.3875"
"263,263,""male"",1,79.65"
"264,264,""male"",1,0"
"265,265,""female"",3,7.75"
"266,266,""male"",2,10.5"
"267,267,""male"",3,39.6875"
"268,268,""male"",3,7.775"
"269,269,""female"",1,153.4625"
"270,270,""female"",1,135.6333"
"271,271,""male"",1,31"
"272,272,""male"",3,0"
"273,273,""female"",2,19.5"
"274,274,""male"",1,29.7"
"275,275,""female"",3,7.75"
"276,276,""female"",1,77.9583"
"277,277,""female"",3,7.75"
"278,278,""male"",2,0"
"279,279,""male"",3,29.125"
"280,280,""female"",3,20.25"
"281,281,""male"",3,7.75"
"282,282,""male"",3,7.8542"
"283,283,""male"",3,9.5"
"284,284,""male"",3,8.05"
"285,285,""male"",1,26"
"286,286,""male"",3,8.6625"
"287,287,""male"",3,9.5"
"288,288,""male"",3,7.8958"
"289,289,""male"",2,13"
"290,290,""female"",3,7.75"
"291,291,""female"",1,78.85"
"292,292,""female"",1,91.0792"
"293,293,""male"",2,12.875"
"294,294,""female"",3,8.85"
"295,295,""male"",3,7.8958"
"296,296,""male"",1,27.7208"
"297,297,""male"",3,7.2292"
"298,298,""female"",1,151.55"
"299,299,""male"",1,30.5"
"300,300,""female"",1,247.5208"
"301,301,""female"",3,7.75"
"302,302,""male"",3,23.25"
"303,303,""male"",3,0"
"304,304,""female"",2,12.35"
"305,305,""male"",3,8.05"
"306,306,""male"",1,151.55"
"307,307,""female"",1,110.8833"
"308,308,""female"",1,108.9"
"309,309,""male"",2,24"
"310,310,""female"",1,56.9292"
"311,311,""female"",1,83.1583"
"312,312,""female"",1,262.375"
"313,313,""female"",2,26"
"314,314,""male"",3,7.8958"
"315,315,""male"",2,26.25"
"316,316,""female"",3,7.8542"
"317,317,""female"",2,26"
"318,318,""male"",2,14"
"319,319,""female"",1,164.8667"
"320,320,""female"",1,134.5"
"321,321,""male"",3,7.25"
"322,322,""male"",3,7.8958"
"323,323,""female"",2,12.35"
"324,324,""female"",2,29"
"325,325,""male"",3,69.55"
"326,326,""female"",1,135.6333"
"327,327,""male"",3,6.2375"
"328,328,""female"",2,13"
"329,329,""female"",3,20.525"
"330,330,""female"",1,57.9792"
"331,331,""female"",3,23.25"
"332,332,""male"",1,28.5"
"333,333,""male"",1,153.4625"
"334,334,""male"",3,18"
"335,335,""female"",1,133.65"
"336,336,""male"",3,7.8958"
"337,337,""male"",1,66.6"
"338,338,""female"",1,134.5"
"339,339,""male"",3,8.05"
"340,340,""male"",1,35.5"
"341,341,""male"",2,26"
"342,342,""female"",1,263"
"343,343,""male"",2,13"
"344,344,""male"",2,13"
"345,345,""male"",2,13"
"346,346,""female"",2,13"
"347,347,""female"",2,13"
"348,348,""female"",3,16.1"
"349,349,""male"",3,15.9"
"350,350,""male"",3,8.6625"
"351,351,""male"",3,9.225"
"352,352,""male"",1,35"
"353,353,""male"",3,7.2292"
"354,354,""male"",3,17.8"
"355,355,""male"",3,7.225"
"356,356,""male"",3,9.5"
"357,357,""female"",1,55"
"358,358,""female"",2,13"
"359,359,""female"",3,7.8792"
"360,360,""female"",3,7.8792"
"361,361,""male"",3,27.9"
"362,362,""male"",2,27.7208"
"363,363,""female"",3,14.4542"
"364,364,""male"",3,7.05"
"365,365,""male"",3,15.5"
"366,366,""male"",3,7.25"
"367,367,""female"",1,75.25"
"368,368,""female"",3,7.2292"
"369,369,""female"",3,7.75"
"370,370,""female"",1,69.3"
"371,371,""male"",1,55.4417"
"372,372,""male"",3,6.4958"
"373,373,""male"",3,8.05"
"374,374,""male"",1,135.6333"
"375,375,""female"",3,21.075"
"376,376,""female"",1,82.1708"
"377,377,""female"",3,7.25"
"378,378,""male"",1,211.5"
"379,379,""male"",3,4.0125"
"380,380,""male"",3,7.775"
"381,381,""female"",1,227.525"
"382,382,""female"",3,15.7417"
"383,383,""male"",3,7.925"
"384,384,""female"",1,52"
"385,385,""male"",3,7.8958"
"386,386,""male"",2,73.5"
"387,387,""male"",3,46.9"
"388,388,""female"",2,13"
"389,389,""male"",3,7.7292"
"390,390,""female"",2,12"
"391,391,""male"",1,120"
"392,392,""male"",3,7.7958"
"393,393,""male"",3,7.925"
"394,394,""female"",1,113.275"
"395,395,""female"",3,16.7"
"396,396,""male"",3,7.7958"
"397,397,""female"",3,7.8542"
"398,398,""male"",2,26"
"399,399,""male"",2,10.5"
"400,400,""female"",2,12.65"
"401,401,""male"",3,7.925"
"402,402,""male"",3,8.05"
"403,403,""female"",3,9.825"
"404,404,""male"",3,15.85"
"405,405,""female"",3,8.6625"
"406,406,""male"",2,21"
"407,407,""male"",3,7.75"
"408,408,""male"",2,18.75"
"409,409,""male"",3,7.775"
"410,410,""female"",3,25.4667"
"411,411,""male"",3,7.8958"
"412,412,""male"",3,6.8583"
"413,413,""female"",1,90"
"414,414,""male"",2,0"
"415,415,""male"",3,7.925"
"416,416,""female"",3,8.05"
"417,417,""female"",2,32.5"
"418,418,""female"",2,13"
"419,419,""male"",2,13"
"420,420,""female"",3,24.15"
"421,421,""male"",3,7.8958"
"422,422,""male"",3,7.7333"
"423,423,""male"",3,7.875"
"424,424,""female"",3,14.4"
"425,425,""male"",3,20.2125"
"426,426,""male"",3,7.25"
"427,427,""female"",2,26"
"428,428,""female"",2,26"
"429,429,""male"",3,7.75"
"430,430,""male"",3,8.05"
"431,431,""male"",1,26.55"
"432,432,""female"",3,16.1"
"433,433,""female"",2,26"
"434,434,""male"",3,7.125"
"435,435,""male"",1,55.9"
"436,436,""female"",1,120"
"437,437,""female"",3,34.375"
"438,438,""female"",2,18.75"
"439,439,""male"",1,263"
"440,440,""male"",2,10.5"
"441,441,""female"",2,26.25"
"442,442,""male"",3,9.5"
"443,443,""male"",3,7.775"
"444,444,""female"",2,13"
"445,445,""male"",3,8.1125"
"446,446,""male"",1,81.8583"
"447,447,""female"",2,19.5"
"448,448,""male"",1,26.55"
