"","year","violent","murder","robbery","prisoners","state"
"1",1977,414.4,14.2,96.8,83,"Alabama"
"2",1978,419.1,13.3,99.1,94,"Alabama"
"3",1979,413.3,13.2,109.5,144,"Alabama"
"4",1980,448.5,13.2,132.1,141,"Alabama"
"5",1981,470.5,11.9,126.5,149,"Alabama"
"6",1982,447.7,10.6,112,183,"Alabama"
"7",1983,416,9.2,98.4,215,"Alabama"
"8",1984,431.2,9.4,96.1,243,"Alabama"
"9",1985,457.5,9.8,105.4,256,"Alabama"
"10",1986,558,10.1,111.6,267,"Alabama"
"11",1987,559.2,9.3,112.2,283,"Alabama"
"12",1988,558.6,9.9,117.8,307,"Alabama"
"13",1989,590.8,10.2,133.9,300,"Alabama"
"14",1990,708.6,11.6,143.7,328,"Alabama"
"15",1991,844.2,11.5,152.8,370,"Alabama"
"16",1992,871.7,11,164.9,394,"Alabama"
"17",1993,780.4,11.6,159.5,407,"Alabama"
"18",1994,683.7,11.9,171.2,431,"Alabama"
"19",1995,632.4,11.2,185.8,450,"Alabama"
"20",1996,565.4,10,167,471,"Alabama"
"21",1997,564.5,9.9,160.5,492,"Alabama"
"22",1998,512.1,8.1,130.9,500,"Alabama"
"23",1999,490.2,7.9,121.2,519,"Alabama"
"24",1977,443.2,10.8,96.8,63,"Alaska"
"25",1978,441.9,12.9,91.3,75,"Alaska"
"26",1979,491.1,13.3,109.6,127,"Alaska"
"27",1980,436,8.9,81.8,133,"Alaska"
"28",1981,615.8,14.6,114.6,143,"Alaska"
"29",1982,623.7,18.5,133.8,170,"Alaska"
"30",1983,613.8,13.8,97.1,194,"Alaska"
"31",1984,621.6,11.6,109.4,219,"Alaska"
"32",1985,581.8,9.8,92.9,252,"Alaska"
"33",1986,570.4,8.6,88,288,"Alaska"
"34",1987,455.4,10.1,73.1,306,"Alaska"
"35",1988,522.8,5.7,72.9,339,"Alaska"
"36",1989,497.7,8,67.6,355,"Alaska"
"37",1990,524.5,7.5,76.7,361,"Alaska"
"38",1991,613.9,7.4,113.2,348,"Alaska"
"39",1992,660.5,7.5,109,345,"Alaska"
"40",1993,760.8,9,122.4,327,"Alaska"
"41",1994,766.3,6.3,146.2,446,"Alaska"
"42",1995,770.9,9.1,155.1,317,"Alaska"
"43",1996,727.7,7.4,117,338,"Alaska"
"44",1997,701.1,8.9,106.4,383,"Alaska"
"45",1998,653.9,6.7,86.6,420,"Alaska"
"46",1999,631.5,8.6,91.4,413,"Alaska"
"47",1977,494.2,9.5,138.2,125,"Arizona"
"48",1978,552.1,9.4,162.9,129,"Arizona"
"49",1979,593,8.9,175.7,146,"Arizona"
"50",1980,650.9,10.3,193.6,139,"Arizona"
"51",1981,575.8,8.1,177.6,160,"Arizona"
"52",1982,517,8.3,158.6,184,"Arizona"
"53",1983,494.2,7.2,132.4,209,"Arizona"
"54",1984,516.1,7.8,131.1,223,"Arizona"
"55",1985,602.5,8,146.5,247,"Arizona"
"56",1986,658.3,9.3,169.2,256,"Arizona"
"57",1987,612.6,7.5,138.4,268,"Arizona"
"58",1988,610.1,8.5,137,307,"Arizona"
"59",1989,599.6,6.7,139,328,"Arizona"
"60",1990,652.4,7.7,160.9,350,"Arizona"
"61",1991,670.7,7.8,165.7,375,"Arizona"
"62",1992,670.8,8.1,153.1,396,"Arizona"
"63",1993,715,8.6,162.9,409,"Arizona"
"64",1994,703.1,10.5,162,430,"Arizona"
"65",1995,713.5,10.4,173.8,459,"Arizona"
"66",1996,631.5,8.5,167.8,473,"Arizona"
"67",1997,623.7,8.2,165.7,479,"Arizona"
"68",1998,577.9,8.1,165.2,484,"Arizona"
"69",1999,551.2,8,152.5,507,"Arizona"
"70",1977,322.9,8.8,83.2,115,"Arkansas"
"71",1978,344.1,9.1,80,111,"Arkansas"
"72",1979,366.2,9.1,74.6,115,"Arkansas"
"73",1980,335.2,9.2,80.9,132,"Arkansas"
"74",1981,310.3,9.1,77.4,128,"Arkansas"
"75",1982,324.7,8.2,78.8,143,"Arkansas"
"76",1983,297.7,7.6,69.3,166,"Arkansas"
"77",1984,321.4,7.5,67.6,179,"Arkansas"
"78",1985,347.6,7.9,68.5,188,"Arkansas"
"79",1986,394.8,8.1,79.7,195,"Arkansas"
"80",1987,412,7.6,79.1,198,"Arkansas"
"81",1988,422.7,8.7,84.1,227,"Arkansas"
"82",1989,473.7,8.4,110.6,230,"Arkansas"
"83",1990,532.2,10.3,113.2,261,"Arkansas"
"84",1991,593.3,11.1,135.6,277,"Arkansas"
"85",1992,576.5,10.8,125.5,317,"Arkansas"
"86",1993,593.3,10.2,124.9,340,"Arkansas"
"87",1994,595.1,12,128.7,327,"Arkansas"
"88",1995,553.2,10.4,125.7,345,"Arkansas"
"89",1996,524,9,114,361,"Arkansas"
"90",1997,526.9,9.9,111.5,357,"Arkansas"
"91",1998,490.2,7.9,96.2,392,"Arkansas"
"92",1999,425.2,5.6,79.3,415,"Arkansas"
"93",1977,706,11.5,287,85,"California"
"94",1978,742.9,11.7,306.1,80,"California"
"95",1979,811.1,13,333.8,88,"California"
"96",1980,893.6,14.5,384.2,93,"California"
"97",1981,863,13,388.2,98,"California"
"98",1982,814.7,11.2,372.1,114,"California"
"99",1983,772.6,10.5,340.9,135,"California"
"100",1984,763.4,10.6,327.5,150,"California"
"101",1985,765.3,10.5,327.7,162,"California"
"102",1986,920.5,11.3,342.9,181,"California"
"103",1987,918,10.6,301.3,212,"California"
"104",1988,929.8,10.4,305.8,231,"California"
"105",1989,977.7,10.9,331.8,257,"California"
"106",1990,1045.2,11.9,377,283,"California"
"107",1991,1089.9,12.7,411.3,311,"California"
"108",1992,1119.7,12.7,424.1,318,"California"
"109",1993,1077.8,13.1,405.1,339,"California"
"110",1994,1013,11.8,356.8,368,"California"
"111",1995,966,11.2,331.2,384,"California"
"112",1996,862.7,9.1,295.6,416,"California"
"113",1997,798.3,8,252.5,446,"California"
"114",1998,703.7,6.6,210.6,475,"California"
"115",1999,627.2,6,181.1,483,"California"
"116",1977,511.9,6.3,170.7,87,"Colorado"
"117",1978,498,7.3,159.2,89,"Colorado"
"118",1979,522.1,5.8,157,93,"Colorado"
"119",1980,528.6,6.9,160.1,90,"Colorado"
"120",1981,531.7,8.1,159.5,96,"Colorado"
"121",1982,504.2,6,150.6,92,"Colorado"
"122",1983,476.4,6.4,126.4,108,"Colorado"
"123",1984,457.8,5.8,114,109,"Colorado"
"124",1985,471,5.8,124.2,104,"Colorado"
"125",1986,523.6,7,144.8,103,"Colorado"
"126",1987,467.5,5.8,118.8,115,"Colorado"
"127",1988,472.6,5.7,98.8,145,"Colorado"
"128",1989,471.4,4.4,90,174,"Colorado"
"129",1990,526,4.2,90.6,207,"Colorado"
"130",1991,559.3,5.9,107.4,209,"Colorado"
"131",1992,578.8,6.2,120.5,249,"Colorado"
"132",1993,567.3,5.8,116.7,256,"Colorado"
"133",1994,509.6,5.4,106.9,262,"Colorado"
"134",1995,440.2,5.8,96.2,289,"Colorado"
"135",1996,404.5,4.7,98.2,292,"Colorado"
"136",1997,363.2,4,83.3,322,"Colorado"
"137",1998,377.9,4.6,81.5,342,"Colorado"
"138",1999,340.5,4.6,75.3,357,"Colorado"
"139",1977,282.3,4.2,129.5,62,"Connecticut"
"140",1978,315,4.2,154.8,53,"Connecticut"
"141",1979,414.2,4.2,193.3,70,"Connecticut"
"142",1980,412.5,4.7,218,69,"Connecticut"
"143",1981,448.1,5.4,246.1,68,"Connecticut"
"144",1982,399.5,5.2,208.5,95,"Connecticut"
"145",1983,375,4.1,200.6,114,"Connecticut"
"146",1984,393.8,3.9,190.5,114,"Connecticut"
"147",1985,402,3.8,190,119,"Connecticut"
"148",1986,425.8,4.6,192.2,127,"Connecticut"
"149",1987,419,4.9,178.1,135,"Connecticut"
"150",1988,455.4,5.4,187.6,144,"Connecticut"
"151",1989,511.8,5.9,214.8,146,"Connecticut"
"152",1990,553.7,5.1,234.8,194,"Connecticut"
"153",1991,539.7,5.7,224.4,238,"Connecticut"
"154",1992,495.3,5.1,210.9,263,"Connecticut"
"155",1993,456.2,6.3,196.7,268,"Connecticut"
"156",1994,455.5,6.6,187.8,320,"Connecticut"
"157",1995,405.9,4.6,163.2,321,"Connecticut"
"158",1996,412,4.8,169.6,318,"Connecticut"
"159",1997,390.9,3.8,152.9,314,"Connecticut"
"160",1998,366.3,4.1,133.8,397,"Connecticut"
"161",1999,345.6,3.3,123.5,372,"Connecticut"
"162",1977,382.1,6,157,118,"Delaware"
"163",1978,440.7,6.7,145.5,120,"Delaware"
"164",1979,537.3,5.7,129.4,173,"Delaware"
"165",1980,474.8,6.9,137,181,"Delaware"
"166",1981,509,6.7,141.1,183,"Delaware"
"167",1982,559.8,5.3,122.4,208,"Delaware"
"168",1983,453.1,4.1,115.3,250,"Delaware"
"169",1984,435.7,4.1,116,273,"Delaware"
"170",1985,433.3,4.8,124.3,263,"Delaware"
"171",1986,427,4.9,124.2,281,"Delaware"
"172",1987,430.7,5.1,122.5,311,"Delaware"
"173",1988,451.7,5.2,118.8,326,"Delaware"
"174",1989,556.5,5.1,138.8,331,"Delaware"
"175",1990,655.2,5,164.8,333,"Delaware"
"176",1991,714.3,5.4,214.7,323,"Delaware"
"177",1992,621.2,4.6,151.2,344,"Delaware"
"178",1993,685.9,5,186.7,390,"Delaware"
"179",1994,644.3,4.7,161.6,394,"Delaware"
"180",1995,725,3.5,198.7,400,"Delaware"
"181",1996,668.3,4.3,179.9,413,"Delaware"
"182",1997,677.9,2.5,179.5,428,"Delaware"
"183",1998,762.4,2.8,194.2,443,"Delaware"
"184",1999,734,3.2,197.9,429,"Delaware"
"185",1977,1426.5,27.8,964.5,334,"District of Columbia"
"186",1978,1411.7,28,939.6,330,"District of Columbia"
"187",1979,1608.7,27.4,1054.9,383,"District of Columbia"
"188",1980,2010.6,31.5,1400.6,433,"District of Columbia"
"189",1981,2274.8,35.1,1635.1,426,"District of Columbia"
"190",1982,2123.1,30.7,1448,467,"District of Columbia"
"191",1983,1915.4,29.4,1235.6,531,"District of Columbia"
"192",1984,1721.5,28.1,977,558,"District of Columbia"
"193",1985,1624.8,23.5,835.5,649,"District of Columbia"
"194",1986,1505.3,31,754,738,"District of Columbia"
"195",1987,1610.3,36.2,717.4,753,"District of Columbia"
"196",1988,1921.6,59.5,917.7,905,"District of Columbia"
"197",1989,2141.9,71.9,1083.1,1078,"District of Columbia"
"198",1990,2458.2,77.8,1213.5,1132,"District of Columbia"
"199",1991,2453.3,80.6,1215.6,1148,"District of Columbia"
"200",1992,2832.8,75.2,1266.4,1221,"District of Columbia"
"201",1993,2921.8,78.5,1229.6,1287,"District of Columbia"
"202",1994,2662.6,70,1107.2,1549,"District of Columbia"
"203",1995,2661.4,65,1239,1782,"District of Columbia"
"204",1996,2469.8,73.1,1186.7,1650,"District of Columbia"
"205",1997,2024.2,56.9,850.9,1611,"District of Columbia"
"206",1998,1718.5,49.7,689.5,1682,"District of Columbia"
"207",1999,1627.7,46.4,644.3,1913,"District of Columbia"
"208",1977,686.8,10.2,187.9,211,"Florida"
"209",1978,765.6,11,206,221,"Florida"
"210",1979,833.9,12.2,249.4,239,"Florida"
"211",1980,983.5,14.5,355.5,220,"Florida"
"212",1981,965.1,15,348.9,208,"Florida"
"213",1982,896.8,13.5,297.6,224,"Florida"
"214",1983,826.7,11.2,263.4,261,"Florida"
"215",1984,868,11.5,276.2,235,"Florida"
"216",1985,941.1,11.4,312.4,242,"Florida"
"217",1986,1036.5,11.7,366.8,247,"Florida"
"218",1987,1024.4,11.4,356.6,272,"Florida"
"219",1988,1117.7,11.4,403.3,265,"Florida"
"220",1989,1109.4,11.1,404,278,"Florida"
"221",1990,1244.3,10.7,416.8,307,"Florida"
"222",1991,1184.3,9.4,399.8,336,"Florida"
"223",1992,1207.2,9,366.9,344,"Florida"
"224",1993,1206,8.9,357.6,355,"Florida"
"225",1994,1146.8,8.3,328.8,384,"Florida"
"226",1995,1071,7.3,299.9,406,"Florida"
"227",1996,1051,7.5,289.2,447,"Florida"
"228",1997,1023.6,6.9,276.1,439,"Florida"
"229",1998,938.7,6.5,242.7,437,"Florida"
"230",1999,854,5.7,211.6,447,"Florida"
"231",1977,439.8,11.7,140.5,225,"Georgia"
"232",1978,482.8,14.4,166.3,224,"Georgia"
"233",1979,558.7,17.1,213.7,216,"Georgia"
"234",1980,555.3,13.8,197.6,224,"Georgia"
"235",1981,548.2,17.2,196.4,219,"Georgia"
"236",1982,478.2,12.6,154.6,220,"Georgia"
"237",1983,456.7,8.4,144.2,247,"Georgia"
"238",1984,478.6,9.4,144.1,259,"Georgia"
"239",1985,507.2,10.4,164.2,254,"Georgia"
"240",1986,587.6,11.2,213.9,251,"Georgia"
"241",1987,576.5,11.8,209.2,265,"Georgia"
"242",1988,665.3,11.7,243.6,282,"Georgia"
"243",1989,735.8,12.7,271.1,281,"Georgia"
"244",1990,756.3,11.8,263.5,300,"Georgia"
"245",1991,738.2,12.8,268.2,327,"Georgia"
"246",1992,733.2,11,249.8,342,"Georgia"
"247",1993,723.1,11.4,248,365,"Georgia"
"248",1994,667.7,10,222.6,387,"Georgia"
"249",1995,657.1,9.5,205.2,456,"Georgia"
"250",1996,638.7,8.6,205.4,470,"Georgia"
"251",1997,606.6,7.5,206.7,462,"Georgia"
"252",1998,572.7,8.1,187.2,472,"Georgia"
"253",1999,534,7.5,166.4,502,"Georgia"
"254",1977,224.8,7.2,128,39,"Hawaii"
"255",1978,270.1,6.7,173.6,44,"Hawaii"
"256",1979,289.7,7.2,184.5,57,"Hawaii"
"257",1980,299.5,8.7,190.2,58,"Hawaii"
"258",1981,247.6,4.8,148.4,65,"Hawaii"
"259",1982,255.7,3.1,156.9,77,"Hawaii"
"260",1983,252.1,5.6,130,88,"Hawaii"
"261",1984,231.9,3.3,115.9,103,"Hawaii"
"262",1985,219.4,4.1,99.4,124,"Hawaii"
"263",1986,245.2,4.8,106.3,134,"Hawaii"
"264",1987,263.3,4.8,98,142,"Hawaii"
"265",1988,257.1,4,84.1,141,"Hawaii"
"266",1989,270.1,4.8,83.2,136,"Hawaii"
"267",1990,280.9,4,91.4,142,"Hawaii"
"268",1991,241.8,4,86.9,150,"Hawaii"
"269",1992,258.4,3.6,99.2,153,"Hawaii"
"270",1993,261.2,3.8,103.6,164,"Hawaii"
"271",1994,262.2,4.2,103.6,198,"Hawaii"
"272",1995,295.6,4.7,130.8,202,"Hawaii"
"273",1996,280.6,3.4,135.6,217,"Hawaii"
"274",1997,277.9,4,118.2,249,"Hawaii"
"275",1998,246.9,2,102.7,288,"Hawaii"
"276",1999,235,3.7,88.1,307,"Hawaii"
"277",1977,236.9,5.5,39.6,82,"Idaho"
"278",1978,236.4,5.4,40,87,"Idaho"
"279",1979,288.7,5.4,43.3,91,"Idaho"
"280",1980,313.4,3.1,46.8,92,"Idaho"
"281",1981,283.3,4.5,37.7,87,"Idaho"
"282",1982,259.2,2.5,30.3,99,"Idaho"
"283",1983,238.7,3.5,27.3,107,"Idaho"
"284",1984,235.3,3.4,24.4,121,"Idaho"
"285",1985,234.8,2.2,26.8,127,"Idaho"
"286",1986,222.5,3.2,21.3,133,"Idaho"
"287",1987,214.2,3.1,24.2,144,"Idaho"
"288",1988,234.7,3.6,20.2,144,"Idaho"
"289",1989,254.6,2.6,15,157,"Idaho"
"290",1990,275.7,2.7,15,180,"Idaho"
"291",1991,290.3,1.8,20.7,190,"Idaho"
"292",1992,281.4,3.5,21.5,205,"Idaho"
"293",1993,281.8,2.9,16.9,209,"Idaho"
"294",1994,285.8,3.5,18.4,234,"Idaho"
"295",1995,322,4.1,24,245,"Idaho"
"296",1996,267.2,3.6,20.3,283,"Idaho"
"297",1997,256.8,3.2,19.6,319,"Idaho"
"298",1998,282.2,2.9,21.5,323,"Idaho"
"299",1999,244.9,2,17.8,330,"Idaho"
"300",1977,630.6,9.9,280.3,87,"Illinois"
"301",1978,676.7,9.9,292.9,95,"Illinois"
"302",1979,743.9,10.7,321.1,96,"Illinois"
"303",1980,808,10.6,367,95,"Illinois"
"304",1981,792.5,10.5,373.2,94,"Illinois"
"305",1982,774.3,8.8,346.8,113,"Illinois"
"306",1983,728.1,9.7,318.9,119,"Illinois"
"307",1984,724.9,9,303.8,135,"Illinois"
"308",1985,714.8,8,287.1,149,"Illinois"
"309",1986,808.9,8.9,325.3,161,"Illinois"
"310",1987,796.2,8.3,314.3,168,"Illinois"
"311",1988,810.4,8.6,312.7,171,"Illinois"
"312",1989,845.9,9,335.7,181,"Illinois"
"313",1990,967.4,10.3,394,211,"Illinois"
"314",1991,1039.2,11.3,456.1,234,"Illinois"
"315",1992,977.3,11.4,412.5,247,"Illinois"
"316",1993,959.7,11.4,381.2,271,"Illinois"
"317",1994,960.9,11.7,372.6,294,"Illinois"
"318",1995,996.1,10.3,330.8,310,"Illinois"
"319",1996,890.4,10,279.4,317,"Illinois"
"320",1997,861.4,9.2,278.4,327,"Illinois"
"321",1998,807.7,8.4,248.5,342,"Illinois"
"322",1999,732.5,7.7,219.4,357,"Illinois"
"323",1977,310.6,7.4,123.2,79,"Indiana"
"324",1978,323.5,6.2,121.4,80,"Indiana"
"325",1979,338,8.3,132.7,82,"Indiana"
"326",1980,377.8,8.9,141.4,98,"Indiana"
"327",1981,341.6,7.1,129,114,"Indiana"
"328",1982,300.6,6.5,109,138,"Indiana"
"329",1983,283.8,5.2,99.9,152,"Indiana"
"330",1984,305.2,5.5,98.9,164,"Indiana"
"331",1985,309.4,5.8,92.1,165,"Indiana"
"332",1986,307.7,6,90,175,"Indiana"
"333",1987,328.5,5.6,88.6,181,"Indiana"
"334",1988,380,6.4,89,192,"Indiana"
"335",1989,406.5,6.3,101.4,202,"Indiana"
"336",1990,473.9,6.2,101.3,217,"Indiana"
"337",1991,505.3,7.5,116,223,"Indiana"
"338",1992,508.5,8.2,122.2,226,"Indiana"
"339",1993,489.1,7.5,119.8,242,"Indiana"
"340",1994,525.1,7.9,130.2,250,"Indiana"
"341",1995,524.7,8,135.2,258,"Indiana"
"342",1996,537,7.2,124.1,275,"Indiana"
"343",1997,514.6,7.3,132.4,286,"Indiana"
"344",1998,431,7.7,111.2,301,"Indiana"
"345",1999,374.6,6.6,109.3,321,"Indiana"
"346",1977,144,2.3,41.2,66,"Iowa"
"347",1978,161.4,2.6,46.9,70,"Iowa"
"348",1979,181.2,2.2,50.2,70,"Iowa"
"349",1980,200.4,2.2,54.9,72,"Iowa"
"350",1981,204.2,2.6,53.6,86,"Iowa"
"351",1982,172.7,2.3,36.2,88,"Iowa"
"352",1983,181.1,2.3,41,93,"Iowa"
"353",1984,198.7,2,38.3,92,"Iowa"
"354",1985,211.7,1.9,41.2,97,"Iowa"
"355",1986,235.1,1.8,42,98,"Iowa"
"356",1987,231.2,2.1,36.2,98,"Iowa"
"357",1988,256.8,1.7,39.9,101,"Iowa"
"358",1989,266.3,1.9,39,107,"Iowa"
"359",1990,299.7,1.9,39.2,126,"Iowa"
"360",1991,303.3,2,45,139,"Iowa"
"361",1992,278,1.6,39.6,144,"Iowa"
"362",1993,325.5,2.3,53.9,160,"Iowa"
"363",1994,315.1,1.7,46.9,174,"Iowa"
"364",1995,354.4,1.8,53,192,"Iowa"
"365",1996,272.5,1.9,45.1,207,"Iowa"
"366",1997,310,1.8,55.9,222,"Iowa"
"367",1998,311.5,1.9,50.9,243,"Iowa"
"368",1999,280,1.5,36.6,258,"Iowa"
"369",1977,309.8,6.6,100.7,91,"Kansas"
"370",1978,318.2,5.7,93.7,97,"Kansas"
"371",1979,353.6,5.5,102.3,98,"Kansas"
"372",1980,389.3,6.9,113.1,95,"Kansas"
"373",1981,369.4,6.3,109.7,106,"Kansas"
"374",1982,335.9,5.7,87,116,"Kansas"
"375",1983,326.6,5.6,84,129,"Kansas"
"376",1984,334.2,3.7,71.6,152,"Kansas"
"377",1985,355.8,4.9,78.7,173,"Kansas"
"378",1986,368.8,4.4,79.6,192,"Kansas"
"379",1987,360.7,4.4,82.1,217,"Kansas"
"380",1988,365.2,3.4,85.9,233,"Kansas"
"381",1989,400.8,5.5,99.8,232,"Kansas"
"382",1990,447.7,4,117.6,222,"Kansas"
"383",1991,499.6,6.1,138.4,227,"Kansas"
"384",1992,510.8,6,129.9,231,"Kansas"
"385",1993,496.4,6.4,123.6,238,"Kansas"
"386",1994,443,6.7,115.1,226,"Kansas"
"387",1995,420.7,6.2,108.2,248,"Kansas"
"388",1996,413.8,6.6,96.3,274,"Kansas"
"389",1997,409.2,6,93.3,301,"Kansas"
"390",1998,397,5.9,86.8,304,"Kansas"
"391",1999,382.8,6,77.1,310,"Kansas"
"392",1977,233.6,10.1,81.1,107,"Kentucky"
"393",1978,223.2,9,81.3,106,"Kentucky"
"394",1979,248,9.5,92.1,97,"Kentucky"
"395",1980,266.7,8.8,95.2,105,"Kentucky"
"396",1981,289.5,8.4,100.7,99,"Kentucky"
"397",1982,315,9.7,97.3,114,"Kentucky"
